relative_path,source_group,extension,size_bytes,modified_at,parsed_month,parseable_by_etl,needs_manual_xlsx_etl,header_preview,notes,status,action_required
dashboard_data/SWF-MetaXblinkit/SWF-Blinkit0MetaDashboard-Dec_25.csv,meta_blinkit,.csv,611,2026-03-04T22:00:10,2025-12,yes,no,"Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaDashboard-Jan_26.csv,meta_blinkit,.csv,1050,2026-03-05T18:09:27,2026-01,yes,no,"Reporting starts,Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaXblinkit/SWF-Blinkit-MetaSashboard-Feb_26.csv,meta_blinkit,.csv,1155,2026-03-04T22:03:24,2026-02,yes,no,"Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Bid,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Nov_25.csv,meta_d2c_adset,.csv,1930,2026-03-04T21:30:46,2025-11,yes,no,"Ad set name,Results,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard_AdsetLevel-Dec_25.csv,meta_d2c_adset,.csv,1624,2026-03-04T21:30:38,2025-12,yes,no,"Ad set name,Results,Cost per results,Ad set budget,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-Adsetlevel-Jan_26.csv,meta_d2c_adset,.csv,1177,2026-03-04T21:34:30,2026-01,yes,no,"Ad set name,Results,Cost per results,Ad set budget,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Feb_26.csv,meta_d2c_adset,.csv,1175,2026-03-04T21:42:26,2026-02,yes,no,"Ad set name,Results,Cost per results,Ad set budget,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaxInstamart/SWF-Instamart-MetaDashborad-Jan_26.csv,meta_instamart,.csv,1019,2026-03-04T21:51:46,2026-01,yes,no,"Reporting starts,Ad set name,Ad set delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Starts,Attribution setting,Last significant edit,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaxInstamart/SWF-Instamart-MetaDashborad-Feb_26.csv,meta_instamart,.csv,722,2026-03-04T21:53:00,2026-02,yes,no,"Reporting starts,Ad set name,Ad set delivery,Results,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Impressions,Reach,""CPM (cost per 1,000 impressions) (INR)"",Purchases,Ends,Starts,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/SWF-ShopifyDashboardxMeta_Nov_25.csv,meta_shopify_sales,.csv,5442,2026-03-04T21:40:36,2025-11,yes,no,"""Product title at time of sale"",""Product variant title at time of sale"",""Orders"",""Net items sold"",""Total sales"",""Discounts"",""Average order value"",""New customers""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv,meta_shopify_sales,.csv,11969,2026-03-07T11:16:17,2025-12,yes,no,"""Order UTM campaign"",""Order UTM content"",""Order UTM medium"",""Orders"",""Gross sales"",""Discounts"",""Returns"",""Net sales"",""Shipping charges"",""Duties"",""Additional fees"",""Taxes"",""Total sales""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/SWF-ShopifyDashboardXMeta_Dec_25.csv,meta_shopify_sales,.csv,5427,2026-03-04T21:41:32,2025-12,yes,no,"""Product title at time of sale"",""Product variant title at time of sale"",""Orders"",""Net items sold"",""Total sales"",""Discounts"",""Average order value"",""New customers""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/Meta shopify report with adset data - Jan_26.csv,meta_shopify_sales,.csv,12266,2026-03-07T11:16:17,2026-01,yes,no,"""Order UTM campaign"",""Order UTM content"",""Order UTM medium"",""Orders"",""Gross sales"",""Discounts"",""Returns"",""Net sales"",""Shipping charges"",""Duties"",""Additional fees"",""Taxes"",""Total sales""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/SWF-ShopifyDashboardXMeta-Jan_26.csv,meta_shopify_sales,.csv,4410,2026-03-04T21:44:30,2026-01,yes,no,"""Product title at time of sale"",""Product variant title at time of sale"",""Orders"",""Net items sold"",""Total sales"",""Discounts"",""Average order value"",""New customers""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify report with Adset data - feb_26.csv,meta_shopify_sales,.csv,10905,2026-03-07T11:16:17,2026-02,yes,no,"""Order UTM campaign"",""Order UTM content"",""Order UTM medium"",""Orders"",""Gross sales"",""Discounts"",""Returns"",""Net sales"",""Shipping charges"",""Duties"",""Additional fees"",""Taxes"",""Total sales""",,received_ready_csv,
dashboard_data/SWF-MetaXShopifyDashboard/SWF-ShopifyDashboardXMeta_Feb_26.csv,meta_shopify_sales,.csv,12837,2026-03-04T21:45:30,2026-02,yes,no,"""Product title at time of sale"",""Product variant title at time of sale"",""Orders"",""Net items sold"",""Total sales"",""Discounts"",""Average order value"",""New customers""",,received_ready_csv,
dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv,shopify_new_vs_returning,.csv,21104,2026-03-04T21:27:12,2025-12,yes,no,"""New or returning customer"",""Day"",""Customers"",""Orders"",""Total sales"",""Day (previous_period)"",""Customers (previous_period)"",""Orders (previous_period)"",""Total sales (previous_period)"",""Customers (previous_period) "",""Orders (previous_period) "",""Total sales (previous_period) """,,received_ready_csv,
